#LIBRARY    JENDL-5
#REACTION   CR-50(N,G)CR-51,SIG
#NUCLEUS    Cr-50
#MF         3
#MT         102
#E,eV        Sig,b        Interpolation
 4.99087891e+03 0.665321 Lin-Lin
 5.09846826e+03 0.748365 Lin-Lin
 5.22621973e+03 0.847686 Lin-Lin
 5.28118115e+03 0.887771 Lin-Lin
 5.33981104e+03 0.926715 Lin-Lin
 5.38875049e+03 0.954475 Lin-Lin
 5.45253906e+03 0.984080 Lin-Lin
 5.45379883e+03 0.988808 Lin-Lin
 5.45455420e+03 0.997876 Lin-Lin
 5.45505811e+03 1.010157 Lin-Lin
 5.45543604e+03 1.024863 Lin-Lin
 5.45581396e+03 1.046326 Lin-Lin
 5.45606592e+03 1.065496 Lin-Lin
 5.45631787e+03 1.089435 Lin-Lin
 5.45656934e+03 1.118949 Lin-Lin
 5.45682129e+03 1.154870 Lin-Lin
 5.45707324e+03 1.198010 Lin-Lin
 5.45732520e+03 1.249121 Lin-Lin
 5.45757715e+03 1.308840 Lin-Lin
 5.45782910e+03 1.377630 Lin-Lin
 5.45808105e+03 1.455713 Lin-Lin
 5.45833301e+03 1.543015 Lin-Lin
 5.45858496e+03 1.639106 Lin-Lin
 5.45883691e+03 1.743156 Lin-Lin
 5.45921436e+03 1.911280 Lin-Lin
 5.46009619e+03 2.324043 Lin-Lin
 5.46047412e+03 2.488065 Lin-Lin
 5.46078760e+03 2.607647 Lin-Lin
 5.46106885e+03 2.697293 Lin-Lin
 5.46135010e+03 2.766566 Lin-Lin
 5.46162012e+03 2.811264 Lin-Lin
 5.46187939e+03 2.832522 Lin-Lin
 5.46200000e+03 2.834923 Lin-Lin
 5.46224805e+03 2.824789 Lin-Lin
 5.46246826e+03 2.799132 Lin-Lin
 5.46270264e+03 2.755269 Lin-Lin
 5.46292432e+03 2.699318 Lin-Lin
 5.46321094e+03 2.608334 Lin-Lin
 5.46349756e+03 2.499863 Lin-Lin
 5.46378418e+03 2.378139 Lin-Lin
 5.46429541e+03 2.142341 Lin-Lin
 5.46484668e+03 1.884615 Lin-Lin
 5.46521436e+03 1.723262 Lin-Lin
 5.46548975e+03 1.611744 Lin-Lin
 5.46576562e+03 1.510093 Lin-Lin
 5.46604102e+03 1.419209 Lin-Lin
 5.46631689e+03 1.339440 Lin-Lin
 5.46659229e+03 1.270668 Lin-Lin
 5.46686816e+03 1.212394 Lin-Lin
 5.46714404e+03 1.163841 Lin-Lin
 5.46741943e+03 1.124051 Lin-Lin
 5.46769531e+03 1.091965 Lin-Lin
 5.46797070e+03 1.066499 Lin-Lin
 5.46824658e+03 1.046600 Lin-Lin
 5.46852246e+03 1.031291 Lin-Lin
 5.46888965e+03 1.016513 Lin-Lin
 5.46944141e+03 1.002960 Lin-Lin
 5.47012549e+03 0.994829 Lin-Lin
 5.47107471e+03 0.990918 Lin-Lin
 5.47234082e+03 0.989979 Lin-Lin
 5.52728613e+03 1.001347 Lin-Lin
 5.56481982e+03 1.004299 Lin-Lin
 5.61257861e+03 1.001543 Lin-Lin
 5.65808496e+03 0.992098 Lin-Lin
 5.69835254e+03 0.978443 Lin-Lin
 5.75003076e+03 0.954270 Lin-Lin
 5.79295752e+03 0.929186 Lin-Lin
 5.85548730e+03 0.886049 Lin-Lin
 5.91801758e+03 0.837219 Lin-Lin
 6.07434229e+03 0.704795 Lin-Lin
 6.18377002e+03 0.614033 Lin-Lin
 6.24629980e+03 0.565565 Lin-Lin
 6.30883008e+03 0.520191 Lin-Lin
 6.37135986e+03 0.478138 Lin-Lin
 6.43389014e+03 0.439452 Lin-Lin
 6.49641992e+03 0.404059 Lin-Lin
 6.55895020e+03 0.371801 Lin-Lin
 6.62147998e+03 0.342477 Lin-Lin
 6.66837744e+03 0.322219 Lin-Lin
 6.73090771e+03 0.297481 Lin-Lin
 6.79343750e+03 0.275059 Lin-Lin
 6.85596729e+03 0.254722 Lin-Lin
 6.91849756e+03 0.236266 Lin-Lin
 6.98102734e+03 0.219503 Lin-Lin
 7.04355762e+03 0.204262 Lin-Lin
 7.10608740e+03 0.190385 Lin-Lin
 7.16861768e+03 0.177734 Lin-Lin
 7.23114746e+03 0.166184 Lin-Lin
 7.29367773e+03 0.155619 Lin-Lin
 7.35620752e+03 0.145947 Lin-Lin
